County,ledgerstyle,cost, mi ,per-income
New Jersey Institute of Technology,1991,4288, na ,na
New Jersey Institute of Technology,1992,4524, na ,na
New Jersey Institute of Technology,1993,4790, na ,na
New Jersey Institute of Technology,1994,4980," $40,927 ",0.12
New Jersey Institute of Technology,1995,5222," $40,927 ",0.13
New Jersey Institute of Technology,1996,5466," $40,927 ",0.13
New Jersey Institute of Technology,1997,5802," $40,927 ",0.14
New Jersey Institute of Technology,1998,6214," $40,927 ",0.15
New Jersey Institute of Technology,1999,6480," $40,927 ",0.16
New Jersey Institute of Technology,2000,6730," $40,927 ",0.16
New Jersey Institute of Technology,2001,7200," $40,927 ",0.18
New Jersey Institute of Technology,2002,7906," $55,146 ",0.14
New Jersey Institute of Technology,2003,8500," $55,146 ",0.15
New Jersey Institute of Technology,2004,9180," $55,146 ",0.17
New Jersey Institute of Technology,2005,9822," $74,764 ",0.13
New Jersey Institute of Technology,2006,10506," $75,701 ",0.14
New Jersey Institute of Technology,2007,11350," $76,542 ",0.15
New Jersey Institute of Technology,2008,12482," $77,387 ",0.16
New Jersey Institute of Technology,2009,12856," $75,410 ",0.17
New Jersey Institute of Technology,2010,13370," $73,492 ",0.18
New Jersey Institute of Technology,2011,13974," $71,011 ",0.2
New Jersey Institute of Technology,2012,14740," $71,836 ",0.21
New Jersey Institute of Technology,2013,15218," $71,313 ",0.21
New Jersey Institute of Technology,2014,15648," $71,919 ",0.22
New Jersey Institute of Technology,2015,16108," $72,222 ",0.22
New Jersey Institute of Technology,2016,16430," $76,126 ",0.22
New Jersey Institute of Technology,2017,16898," $80,088 ",0.21
New Jersey Institute of Technology,2018,17338," $80,088 ",0.22
New Jersey Institute of Technology,2019,17684," $80,088 ",0.22
New Jersey Institute of Technology,2020,18507," $81,690 ",0.23
New Jersey Institute of Technology,2021,19368," $83,324 ",0.23
New Jersey Institute of Technology,2022,20268," $84,990 ",0.24
New Jersey Institute of Technology,2023,21211," $86,690 ",0.24
New Jersey Institute of Technology,2024,22198," $88,424 ",0.25
New Jersey Institute of Technology,2025,23231," $90,192 ",0.26
New Jersey Institute of Technology,2026,24311," $91,996 ",0.26
New Jersey Institute of Technology,2027,25442," $93,836 ",0.27
New Jersey Institute of Technology,2028,26625," $95,713 ",0.28
New Jersey Institute of Technology,2029,27864," $97,627 ",0.29
New Jersey Institute of Technology,2030,29160," $99,579 ",0.29
New Jersey Institute of Technology,2031,30517," $101,571 ",0.3
New Jersey Institute of Technology,2032,31936," $103,602 ",0.31
New Jersey Institute of Technology,2033,33422," $105,674 ",0.32
New Jersey Institute of Technology,2034,34976," $107,788 ",0.32
New Jersey Institute of Technology,2035,36603," $109,944 ",0.33
New Jersey Institute of Technology,2036,38306," $112,143 ",0.34
New Jersey Institute of Technology,2037,40088," $114,385 ",0.35
Rutgers University Average,1991,3860, na ,na
Rutgers University Average,1992,4066, na ,na
Rutgers University Average,1993,4237, na ,na
Rutgers University Average,1994,4506," $40,927 ",0.11
Rutgers University Average,1995,4794," $40,927 ",0.12
Rutgers University Average,1996,5074," $40,927 ",0.12
Rutgers University Average,1997,5333," $40,927 ",0.13
Rutgers University Average,1998,5718," $40,927 ",0.14
Rutgers University Average,1999,6000," $40,927 ",0.15
Rutgers University Average,2000,6333," $40,927 ",0.15
Rutgers University Average,2001,6655," $40,927 ",0.16
Rutgers University Average,2002,7308," $55,146 ",0.13
Rutgers University Average,2003,7927," $55,146 ",0.14
Rutgers University Average,2004,8564," $55,146 ",0.16
Rutgers University Average,2005,9237," $74,764 ",0.12
Rutgers University Average,2006,9958," $75,701 ",0.13
Rutgers University Average,2007,10686," $76,542 ",0.14
Rutgers University Average,2008,11540," $77,387 ",0.15
Rutgers University Average,2009,11886," $75,410 ",0.16
Rutgers University Average,2010,12560," $73,492 ",0.17
Rutgers University Average,2011,12755," $71,011 ",0.18
Rutgers University Average,2012,13073," $71,836 ",0.18
Rutgers University Average,2013,13499," $71,313 ",0.19
Rutgers University Average,2014,13813," $71,919 ",0.19
Rutgers University Average,2015,14131," $72,222 ",0.2
Rutgers University Average,2016,14372," $76,126 ",0.19
Rutgers University Average,2017,14638," $80,088 ",0.18
Rutgers University Average,2018,19416," $80,088 ",0.24
Rutgers University Average,2019,15215," $80,088 ",0.19
Rutgers University Average,2020,15814," $81,690 ",0.19
Rutgers University Average,2021,16437," $83,324 ",0.2
Rutgers University Average,2022,17084," $84,990 ",0.2
Rutgers University Average,2023,17757," $86,690 ",0.2
Rutgers University Average,2024,18456," $88,424 ",0.21
Rutgers University Average,2025,19183," $90,192 ",0.21
Rutgers University Average,2026,19939," $91,996 ",0.22
Rutgers University Average,2027,20724," $93,836 ",0.22
Rutgers University Average,2028,21541," $95,713 ",0.23
Rutgers University Average,2029,22389," $97,627 ",0.23
Rutgers University Average,2030,23271," $99,579 ",0.23
Rutgers University Average,2031,24188," $101,571 ",0.24
Rutgers University Average,2032,25140," $103,602 ",0.24
Rutgers University Average,2033,26131," $105,674 ",0.25
Rutgers University Average,2034,27160," $107,788 ",0.25
Rutgers University Average,2035,28230," $109,944 ",0.26
Rutgers University Average,2036,29341," $112,143 ",0.26
Rutgers University Average,2037,30497," $114,385 ",0.27
College of New Jersey,1991,3032, na ,na
College of New Jersey,1992,3687, na ,na
College of New Jersey,1993,3857, na ,na
College of New Jersey,1994,4078," $40,927 ",0.1
College of New Jersey,1995,4168," $40,927 ",0.1
College of New Jersey,1996,4446," $40,927 ",0.11
College of New Jersey,1997,4843," $40,927 ",0.12
College of New Jersey,1998,5318," $40,927 ",0.13
College of New Jersey,1999,5685," $40,927 ",0.14
College of New Jersey,2000,5991," $40,927 ",0.15
College of New Jersey,2001,6661," $40,927 ",0.16
College of New Jersey,2002,7448," $55,146 ",0.14
College of New Jersey,2003,8206," $55,146 ",0.15
College of New Jersey,2004,9118," $55,146 ",0.17
College of New Jersey,2005,9857," $74,764 ",0.13
College of New Jersey,2006,10553," $75,701 ",0.14
College of New Jersey,2007,11307," $76,542 ",0.15
College of New Jersey,2008,12308," $77,387 ",0.16
College of New Jersey,2009,12722," $75,410 ",0.17
College of New Jersey,2010,13293," $73,492 ",0.18
College of New Jersey,2011,13887," $71,011 ",0.2
College of New Jersey,2012,14378," $71,836 ",0.2
College of New Jersey,2013,14730," $71,313 ",0.21
College of New Jersey,2014,15024," $71,919 ",0.21
College of New Jersey,2015,15466," $72,222 ",0.21
College of New Jersey,2016,15794," $76,126 ",0.21
College of New Jersey,2017,16149," $80,088 ",0.2
College of New Jersey,2018,16551," $80,088 ",0.21
College of New Jersey,2019,16831," $80,088 ",0.21
College of New Jersey,2020,17542," $81,690 ",0.21
College of New Jersey,2021,18282," $83,324 ",0.22
College of New Jersey,2022,19054," $84,990 ",0.22
College of New Jersey,2023,19859," $86,690 ",0.23
College of New Jersey,2024,20697," $88,424 ",0.23
College of New Jersey,2025,21571," $90,192 ",0.24
College of New Jersey,2026,22482," $91,996 ",0.24
College of New Jersey,2027,23431," $93,836 ",0.25
College of New Jersey,2028,24421," $95,713 ",0.26
College of New Jersey,2029,25452," $97,627 ",0.26
College of New Jersey,2030,26527," $99,579 ",0.27
College of New Jersey,2031,27647," $101,571 ",0.27
College of New Jersey,2032,28814," $103,602 ",0.28
College of New Jersey,2033,30031," $105,674 ",0.28
College of New Jersey,2034,31299," $107,788 ",0.29
College of New Jersey,2035,32620," $109,944 ",0.3
College of New Jersey,2036,33998," $112,143 ",0.3
College of New Jersey,2037,35433," $114,385 ",0.31
Kean University,1991,2428, na ,na
Kean University,1992,2593, na ,na
Kean University,1993,2555, na ,na
Kean University,1994,2810," $40,927 ",0.07
Kean University,1995,3089," $40,927 ",0.08
